instance_id,label_gpt4o,label_wiktionary,dtw_distance
10147,hi·-puh-po·-tuh(uu)-MON-struh(uu)-ses·-kwi-pi-dahl·-i-uh(uu)-FUHUU-bi-uh,hi·-puh-po·-tuh(uu)-MON-struh(uu)-ses·-kwi-pi-dahl·-i-uh(uu)-FUHUU-bi-uh,12.9072
10148,HURSIGHN,HURSIGHN,10.0345
10149,hur-SOOT,hur-SOOT,11.193
1015,uh-MAL-guhm,uh-MAL-guhm,9.6829
10150,HISTUHMEEN,HISTUHMEEN,9.359
10151,his-TOLUHJEE,his-TOLUHJEE,7.5665
10152,(h)i-STAWRIK,(h)i-STAWRIK,10.2298
10153,hi-STAWRIKUHL,hi-STAWRIKUHL,8.5977
10154,histawruh·-KASTUHR,histawruh·-KASTUHR,9.4319
10155,-un,-un,11.0936
10156,HICHHIGHK,HICHHIGHK,8.5339
10157,huidh,huidh,9.1654
10158,HIDHUR,HIDHUR,9.3339
10159,HITLUR,HITLUR,14.6772
1016,uh-MALGUH-mayt·,uh-MALGUH-mayt·,10.8105
10160,HITUR,HITUR,10.8416
10161,HI-tight,HI-tight,9.8782
10162,aych·-igh-VEE,aych·-igh-VEE,9.9295
10163,HIGHYUH-dooin,HIGHYUH-dooin,11.6249
10164,high-YAH,high-YAH,10.9277
10165,hizows,hizows,8.9857
10166,hmf,hmf,13.1286
10167,hmf,hmf,12.3525
10168,HOH-gee,HOH-gee,9.9052
10169,hawrd,hawrd,8.1798
1017,amuh-NAHTEE,amuh-NAHTEE,12.2874
10170,HOHR-frahst·,HOHR-frahst·,9.8147
10171,hawr-ee,hawr-ee,9.9084
10172,huhuuks,huhuuks,11.2975
10173,hohks,hohks,7.9115
10174,HUHUUBAHT,HUHUUBAHT,10.0201
10175,hahbz,hahbz,8.2182
10176,HOBUHLDEEHOY,HOBUHLDEEHOY,10.8182
10177,HO-bee,HO-bee,10.8793
10178,HUHUU-buhuu,HUHUU-buhuu,10.6603
10179,HAHKEE,HAHKEE,8.6521
1018,uh-manyoo·-ENSIS,uh-manyoo·-ENSIS,11.8452
10180,huhuukuhs·-PUHUUKUHS,huhuukuhs·-PUHUUKUHS,10.7384
10181,HAHJ-pahj·,HAHJ-pahj·,10.3405
10182,HOJ-poj·,HOJ-poj·,10.9685
10183,HOJ-poj·,HOJ-poj·,9.9385
10184,hohʉ,hohʉ,11.6371
10185,-uhuuz,-uhuuz,8.2638
10186,hohf,hohf,11.346
10187,HOH-guhn,HOH-guhn,9.727
10188,HAHG-wahsh,HAHG-wahsh,7.9858
10189,hoh·-hoh-KAHM,hoh·-hoh-KAHM,13.1293
1019,uh-manyoo·-ENSIS,uh-manyoo·-ENSIS,10.5903
10190,HOYT,HOYT,11.004
10191,hoy·-tee-TOY-ti-lee,hoy·-tee-TOY-ti-lee,10.8517
10192,HOHKEE,HOHKEE,10.3801
10193,HUHUUKUHM,HUHUUKUHM,11.6261
10194,HUHUUBUHN,HUHUUBUHN,11.8254
10195,hohld,hohld,9.2411
10196,HOHLDUR,HOHLDUR,12.3838
10197,HUHUULDING,HUHUULDING,8.1762
10198,hohld-migh-bir,hohld-migh-bir,10.2527
10199,hohldz,hohldz,9.7473
102,ab-DUKTID,ab-DUKTID,9.7793
1020,uh-MAHTAY,uh-MAHTAY,11.482
10200,hɐʉl,hɐʉl,9.9562
10201,hohl,hohl,13.9615
10202,hohlz,hohlz,8.0927
10203,HOHLEE,HOHLEE,10.0413
10204,HAHLUH-day·,HAHLUH-day·,11.4255
10205,HUHUU-lee-uh-dhuhn-DHOW,HUHUU-lee-uh-dhuhn-DHOW,11.0436
10206,HOH-lee-ur-dhuhn-DHOW,HOH-lee-ur-dhuhn-DHOW,11.2043
10207,HOHLEENUHS,HOHLEENUHS,8.956
10208,HAH-lur,HAH-lur,9.7544
10209,HAH-loh,HAH-loh,8.8366
1021,uh-MAHTAY,uh-MAHTAY,11.5499
10210,HAHLEE,HAHLEE,9.4418
10211,HAHLEEHAHK,HAHLEEHAHK,8.6796
10212,HOH-mee-uhm,HOH-mee-uhm,9.7472
10213,HOL-uh-seen·,HOL-uh-seen·,10.9119
10214,HOLUHGRAM,HOLUHGRAM,10.0713
10215,-ogruhfee,-ogruhfee,9.5543
10216,-astik,-astik,9.9832
10217,holz,holz,9.9459
10218,HOHLEE,HOHLEE,8.3883
10219,HOLEEHED,HOLEEHED,9.556
1022,AM-uh-tiv,AM-uh-tiv,10.6932
10220,huhuulee·-SEE,huhuulee·-SEE,9.9049
10221,-uhuuks,-uhuuks,9.8492
10222,HUHUUL-i-stohn,HUHUUL-i-stohn,11.8527
10223,hohm,hohm,11.3161
10224,-uhuum,-uhuum,11.6332
10225,HOHM-boy,HOHM-boy,10.4541
10226,huhuum·-FREE,huhuum·-FREE,8.8019
10227,HOHMPAYJ,HOHMPAYJ,8.3258
10228,homuhrtuhn,homuhrtuhn,10.0578
10229,hohmz,hohmz,10.2948
1023,uh-MAYZINGLEE,uh-MAYZINGLEE,9.9327
10230,HOHM-sik,HOHM-sik,11.0098
10231,hohm-sweet-hohm,hohm-sweet-hohm,11.9882
10232,HOHMWURD,HOHMWURD,10.7952
10233,HOHM-wurk·,HOHM-wurk·,9.5755
10234,HAH-muh-nid,HAH-muh-nid,8.4363
10235,HOMINEE,HOMINEE,9.7589
10236,huh-MAHJINUHS,huh-MAHJINUHS,7.763
10237,HOMUHUUGLIF,HOMUHUUGLIF,10.3046
10238,hoh-MOGRUHFEE,hoh-MOGRUHFEE,10.8975
10239,huh-MOLUHGUHS,huh-MOLUHGUHS,8.8224
1024,AM-uh-zahn·,AM-uh-zahn·,9.9089
10240,HAHMUHNIM,HAHMUHNIM,10.1101
10241,HAHMUHFOHN,HAHMUHFOHN,9.4207
10242,-onik,-onik,14.1443
10243,huh-MOFUHNUHS,huh-MOFUHNUHS,10.2475
10244,huh-MOFUHNEE,huh-MOFUHNEE,8.9228
10245,huhuumuhuu·-ZIGHGUHS,huhuumuhuu·-ZIGHGUHS,9.2716
10246,hun,hun,9.0349
10247,HONDUHL,HONDUHL,9.6788
10248,hon-DYUUUH-ruhs,hon-DYUUUH-ruhs,8.65
10249,hohn,hohn,8.8668
1025,amuhzuh·-NOMUHKEE,amuhzuh·-NOMUHKEE,12.7432
10250,AHNISTLEE,AHNISTLEE,9.6901
10251,AHNUHSTEE,AHNUHSTEE,9.0697
10252,HUN-ee-moon·,HUN-ee-moon·,9.4668
10253,HUNEE-plant·,HUNEE-plant·,12.2368
10254,HUNEESUKUHL,HUNEESUKUHL,8.3433
10255,huhuuni·-AHRUH,huhuuni·-AHRUH,11.475
10256,HOHNING,HOHNING,9.6987
10257,-ongkuh,-ongkuh,12.6239
10258,hoh·-nuh-LOO-loo,hoh·-nuh-LOO-loo,9.8608
10259,AH-nur,AH-nur,9.1747
1026,AM-bur,AM-bur,8.348
10260,AHN-uh-rer·-ee,AHN-uh-rer·-ee,11.1815
10261,ahnuh·-RIFIK,ahnuh·-RIFIK,9.5743
10262,AHN-urz,AHN-urz,10.0634
10263,ONUH,ONUH,11.6934
10264,AHNURD,AHNURD,10.9484
10265,huud,huud,9.1675
10266,HUUDID,HUUDID,8.9701
10267,HUUD-wingk·,HUUD-wingk·,9.7951
10268,HOO-hah·,HOO-hah·,9.2068
10269,HUUK-ur,HUUK-ur,9.4689
1027,ambi·-AM(UH)RUHS,ambi·-AM(UH)RUHS,8.8694
10270,-uukee,-uukee,10.4019
10271,huuk·-lighn·-uhn(d)-SINGKUH,huuk·-lighn·-uhn(d)-SINGKUH,11.4187
10272,HUUKUP,HUUKUP,10.6814
10273,HOOLEE,HOOLEE,10.59
10274,HOO-li-guhn,HOO-li-guhn,13.5227
10275,HOO-li-guhn-iz-uhm,HOO-li-guhn-iz-uhm,11.8336
10276,HOOPLAH,HOOPLAH,9.6205
10277,hoos,hoos,11.4768
10278,hʉt,hʉt,11.2716
10279,hahp,hahp,10.1615
1028,ambi·-AM(UH)REE,ambi·-AM(UH)REE,10.2578
10280,hawp,hawp,12.2312
10281,hohp,hohp,8.5769
10282,HOHP,HOHP,8.5679
10283,hohpt,hohpt,9.7886
10284,HUHUUPFUHLEE,HUHUUPFUHLEE,10.5194
10285,HOHPLIS,HOHPLIS,9.2177
10286,huhuup-NUHUUSIS,huhuup-NUHUUSIS,11.1628
10287,hohps,hohps,8.0977
10288,HOHPING,HOHPING,8.8741
10289,HUHUU-pee-uhm,HUHUU-pee-uhm,13.3234
1029,am·-bee-DEK-struhs,am·-bee-DEK-struhs,10.8074
10290,HAWP-uh,HAWP-uh,9.1483
10291,-oping,-oping,9.1858
10292,HAHP-tohd,HAHP-tohd,10.1225
10293,hawrd,hawrd,10.5253
10294,hohd,hohd,9.9268
10295,huh-RIGH-zuhn,huh-RIGH-zuhn,9.3965
10296,hohruh·-ZAHNTUHL,hohruh·-ZAHNTUHL,8.4405
10297,HOHRMOHN,HOHRMOHN,9.7033
10298,hawrn,hawrn,12.9204
10299,HAWRN-beem·,HAWRN-beem·,10.3154
103,ab-duhk-TEEZ,ab-duhk-TEEZ,10.6101
1030,AM-bee-uhns,AM-bee-uhns,10.0473
10300,hawnchurch,hawnchurch,10.5547
10301,HAW-nit,HAW-nit,11.3416
10302,hawrnz,hawrnz,12.1734
10303,hawnzee,hawnzee,10.08
10304,HAWRN-swah-guhl,HAWRN-swah-guhl,9.62
10305,HOHRNEE-handuhd·,HOHRNEE-handuhd·,8.5638
10306,HORIBLEE,HORIBLEE,11.1062
10307,HAWRID,HAWRID,10.4956
10308,huh-RIFIK,huh-RIFIK,9.8502
10309,HAWRUHFIGH,HAWRUHFIGH,8.9165
1031,AM-bee-uhnt,AM-bee-uhnt,11.481
10310,awr·-DURV,awr·-DURV,8.5245
10311,HAWRS-bak·,HAWRS-bak·,9.0318
10312,-ung,-ung,10.9668
10313,HAWRSMUHN,HAWRSMUHN,9.6767
10314,HAWRSMUHN,HAWRSMUHN,10.2093
10315,HAWRS-powur·,HAWRS-powur·,11.5892
10316,HAWSRAYS,HAWSRAYS,8.503
10317,HAWRSRADISH,HAWRSRADISH,10.3737
10318,-it,-it,12.0869
10319,-it,-it,13.0785
1032,am-BIG-yoo-uhs,am-BIG-yoo-uhs,9.2333
10320,HAWS-tayl,HAWS-tayl,8.0095
10321,HAWRTUHTIV,HAWRTUHTIV,13.1084
10322,HAWR-ti-kul·-chur,HAWR-ti-kul·-chur,10.2225
10323,-uhuuzuh,-uhuuzuh,7.566
10324,HOHZHUHREE,HOHZHUHREE,10.9885
10325,HOS-pi-tl,HOS-pi-tl,10.3202
10326,hahs-pi-TAL-i-tee,hahs-pi-TAL-i-tee,9.6528
10327,HOSPITUH-lighz·,HOSPITUH-lighz·,10.2466
10328,hohst,hohst,8.1534
10329,HAHS-tij,HAHS-tij,7.6288
1033,ambi·-LEEVUHS,ambi·-LEEVUHS,10.7577
10330,HOHSTID,HOHSTID,10.0248
10331,HAHSTUHL,HAHSTUHL,8.4023
10332,HAHSTUHLREE,HAHSTUHLREE,9.781
10333,HOHSTIS,HOHSTIS,9.0241
10334,hah-STILITEEZ,hah-STILITEEZ,10.9649
10335,hah-STILITEE,hah-STILITEE,8.8085
10336,HUHUUSTIS-HYOOMUHNEE-JENUHRIS,HUHUUSTIS-HYOOMUHNEE-JENUHRIS,11.4832
10337,(H)AHS-lur,(H)AHS-lur,11.158
10338,(H)AHS-lur,(H)AHS-lur,11.1539
10339,(H)AHS-lur,(H)AHS-lur,10.9157
1034,ambi·-LINEEUHL,ambi·-LINEEUHL,11.9484
10340,(H)AHS-lur,(H)AHS-lur,10.9273
10341,hohsts,hohsts,8.9239
10342,haht,haht,7.9192
10343,HOCHUH,HOCHUH,10.8212
10344,HOCHPOCH,HOCHPOCH,11.4615
10345,-un,-un,10.2604
10346,hoh-TEL,hoh-TEL,9.737
10347,haht·-MES,haht·-MES,8.9269
10348,HOT-shot·,HOT-shot·,11.2861
10349,HAHT-spaht·,HAHT-spaht·,10.5156
1035,am·-bi-SEK-struhs,am·-bi-SEK-struhs,9.766
10350,HAHT-spaht·,HAHT-spaht·,11.1746
10351,-otuh,-otuh,12.1833
10352,huf,huf,11.1419
10353,HOWNDSTOOTH,HOWNDSTOOTH,9.7163
10354,owuh,owuh,10.5845
10355,OWUHGLAHS,OWUHGLAHS,11.1625
10356,OWUHGLAHS,OWUHGLAHS,10.9084
10357,OWUHLEE,OWUHLEE,10.6167
10358,OWURLEE,OWURLEE,9.688
10359,HOWS-boht·,HOWS-boht·,10.6523
1036,ambisi·-LABIK,ambisi·-LABIK,11.5595
10360,HOWSBOY,HOWSBOY,9.1289
10361,hows-figh-ur,hows-figh-ur,9.7322
10362,HOWSHOHLD,HOWSHOHLD,9.5265
10363,HOWSKEEPUR,HOWSKEEPUR,9.8389
10364,HOWS-uv-kahrdz·,HOWS-uv-kahrdz·,10.029
10365,HOWZEE,HOWZEE,10.1579
10366,HYOOSTUHN,HYOOSTUHN,11.5563
10367,HU-vurr-kam,HU-vurr-kam,9.969
10368,how,how,9.43
10369,HOWUHD,HOWUHD,10.1967
1037,am-BISH-uhn,am-BISH-uhn,9.0602
10370,how-AHR-yoo,how-AHR-yoo,9.0257
10371,how-BEE-it,how-BEE-it,9.5146
10372,how-kum,how-kum,10.3611
10373,how-kum,how-kum,10.1272
10374,HOW-doo-YOO-pruh-NOWNS-dhis-WURD,HOW-doo-YOO-pruh-NOWNS-dhis-WURD,9.7506
10375,how-EVUR,how-EVUR,9.7134
10376,HOW-its-uhr,HOW-its-uhr,9.7015
10377,how-OHLD-ahr-yoo·,how-OHLD-ahr-yoo·,10.9043
10378,howsoh·-EVUHR,howsoh·-EVUHR,8.9343
10379,hohth,hohth,11.303
1038,am-BISH-uhs,am-BISH-uhs,8.8667
10380,HOW-zat·,HOW-zat·,10.8212
10381,HOYDUHN,HOYDUHN,11.1051
10382,hub,hub,9.0681
10383,hub,hub,10.6161
10384,HUBUHL,HUBUHL,9.9605
10385,HUBUB,HUBUB,9.3584
10386,HUBEE,HUBEE,10.5231
10387,HYOOBRIS,HYOOBRIS,12.3549
10388,HYOOBRIS,HYOOBRIS,10.6321
10389,huk,huk,10.9848
1039,ambi·-TRANZITIV,ambi·-TRANZITIV,11.6849
10390,HUKUHL,HUKUHL,10.8837
10391,HUKL-buk,HUKL-buk,10.4643
10392,HUKSTUR,HUKSTUR,8.3801
10393,HUDSUHN,HUDSUHN,10.126
10394,huf,huf,8.4953
10395,HUFUHL-puf·,HUFUHL-puf·,12.3938
10396,HYOOJLEE,HYOOJLEE,9.5947
10397,HUG-uh-buhl,HUG-uh-buhl,9.7133
10398,HUGUH,HUGUH,9.8063
10399,HOOLUH-hoop·,HOOLUH-hoop·,12.1697
104,ab-duhk-TING,ab-duhk-TING,9.6288
1040,am-BIV-uh-luhnt,am-BIV-uh-luhnt,11.0519
10400,HYOOLIN,HYOOLIN,10.5367
10401,hulk-owt,hulk-owt,9.8449
10402,hyoomuhn·-BEEING,hyoomuhn·-BEEING,12.732
10403,HYOOMUHN-kuhm·-PYOOTUH-intur·-AKSHN,HYOOMUHN-kuhm·-PYOOTUH-intur·-AKSHN,9.7929
10404,hyoo-MAYN-lee,hyoo-MAYN-lee,9.8231
10405,hyoo-MAN-i-teez,hyoo-MAN-i-teez,8.4717
10406,hyoo-MANITEE,hyoo-MANITEE,8.4314
10407,-ighnd,-ighnd,14.3415
10408,HYOOMUHNLEE,HYOOMUHNLEE,12.3204
10409,HYOOMUHNOYD,HYOOMUHNOYD,10.463
1041,am-BIV-uh-luhnt,am-BIV-uh-luhnt,9.6411
10410,hyoomuhn·-RIGHTZ,hyoomuhn·-RIGHTZ,10.7098
10411,hyoomuhn·-RIGHTZ,hyoomuhn·-RIGHTZ,10.7065
10412,hyoomuhn·-RIGHTZ,hyoomuhn·-RIGHTZ,10.7298
10413,hyoomuhn·-RIGHTZ,hyoomuhn·-RIGHTZ,10.7298
10414,HUM-buh-sighd·,HUM-buh-sighd·,9.9741
10415,HUMBLUR,HUMBLUR,9.9896
10416,HUMBLEE,HUMBLEE,10.702
10417,HUHMBOH(L)-pʰuhrk·,HUHMBOH(L)-pʰuhrk·,9.4945
10418,HUMBUG,HUMBUG,10.8367
10419,HUHM-buhg·,HUHM-buhg·,11.6682
1042,am-BIV-uh-luhnt,am-BIV-uh-luhnt,9.6223
10420,HUMDRUM,HUMDRUM,9.6429
10421,HYOOMIUHN,HYOOMIUHN,10.2902
10422,hyoo-MIDIFIGH,hyoo-MIDIFIGH,10.6421
10423,hyoo-MILEE-ayt·,hyoo-MILEE-ayt·,10.5345
10424,hyoo-MILEE-ayting·,hyoo-MILEE-ayting·,8.3751
10425,hyoo-mili·-AYTRIKS,hyoo-mili·-AYTRIKS,7.9201
10426,-umuh,-umuh,11.1444
10427,HUMING-burd·,HUMING-burd·,10.5766
10428,HYOOMUHRUHS,HYOOMUHRUHS,8.819
10429,HYOO-muhr-is-lee,HYOO-muhr-is-lee,11.4048
1043,AM-buhlz,AM-buhlz,9.0742
10430,HUMPBAK,HUMPBAK,11.0467
10431,hun,hun,10.7538
10432,HUNCHBAK,HUNCHBAK,11.9286
10433,HUNDUHUU,HUNDUHUU,12.1851
10434,hung-GEUH-ree-uhn,hung-GEUH-ree-uhn,10.3111
10435,HUNG-guhr-ee,HUNG-guhr-ee,10.1845
10436,HUNG-guhr-ee,HUNG-guhr-ee,10.1164
10437,HUNGGUR,HUNGGUR,9.1555
10438,HUNGGUH-stohn·,HUNGGUH-stohn·,10.0467
10439,HUNGKUR,HUNGKUR,9.7658
1044,ambli-UHUUPIUH,ambli-UHUUPIUH,10.8454
10440,hungkee·-DAWREE,hungkee·-DAWREE,10.6419
10441,HUNSTUHN,HUNSTUHN,11.2504
10442,HUNTUR,HUNTUR,10.3903
10443,HUNTURZ,HUNTURZ,9.6341
